,Random,Greedy,PPO
0,511.3900393370139,783.5783078660672,495.1110397813248
1,601.5006072491217,727.6084496022851,498.81871940902454
2,575.5388175898744,735.7637550439229,540.1032322729585
3,548.1132757156005,726.2641065697346,660.7206147553852
4,549.7521155380656,653.6760542931108,571.4984160853429
5,530.4360206849728,867.484989143424,644.5680773741152
6,549.4797169219095,827.9784795142798,566.7978918690263
7,553.2176322442704,724.9853090690282,438.4120204881745
8,450.69711768098375,787.5873008898286,457.199023460264
9,539.9230714152261,705.81573375494,373.27749730608605
10,508.9777396445346,817.0897220899805,290.8771819904023
11,483.39358133429926,755.5663239784194,290.4557644670359
12,522.02098770335,669.9246504896331,272.7868986588802
13,547.1609458662585,752.7979153218942,307.315116425248
14,450.1216098251383,772.3260080738913,260.0914910233472
15,539.169621753959,753.0324634017422,295.24820120619233
16,556.1640932769099,782.0849074849933,306.6750190977268
17,553.8580271725972,728.4722437886325,279.84983501963217
18,517.4603872669986,745.1863720579543,281.4897650002811
19,552.502207968629,811.5248212634767,294.2202892519063
20,539.5481000209047,828.3623972308809,317.03998668589895
21,597.2970927040312,747.8542412759915,279.3946883979129
22,495.4985220212005,794.7701129840875,293.608388499177
23,496.84429221215896,761.3333294962755,252.4876619103999
24,523.6026007227696,748.5843782783395,306.0845580603433
25,527.6515472121885,779.9370572831695,318.8268713728
26,534.4337721827966,834.4304638818587,285.1088718970639
27,526.6086901529526,774.4610619840934,306.9267523557286
28,540.6709385260249,791.1554218211201,301.1479036394891
29,491.93117888363605,757.6239742431204,309.59073485313445
30,486.4469429231957,702.6821353846206,298.16018494278217
31,478.08492723773253,833.7088345162285,292.0932410928439
32,514.2601154141249,793.7749450657427,313.10881520076236
33,498.644367018523,719.6655454140274,284.06729668888113
34,551.816223537365,779.3274899060152,278.4452022726264
35,470.43415975854407,790.0371846889537,296.85292811286644
36,552.4224534185742,723.005204991407,304.45656067076237
37,522.8637721097186,745.9766840345529,280.53177742137655
38,528.1807548911563,683.5871269014851,293.9677704920006
39,591.3628330738517,805.4737577594378,289.3559643814043
40,582.0826662683346,746.7047138533627,286.48049403583036
41,541.3858553266389,763.8197818358586,350.2764912324002
42,457.2162828551215,746.2873065465149,321.4755975412
43,521.2449626588857,783.1981011421561,293.1771526350226
44,563.4921286650033,673.9192915027645,282.39583941982227
45,471.88374042957213,707.6218115463271,277.3920355538053
46,539.4463907577269,766.0901423331127,249.19941652102588
47,521.2415595827979,715.2334642317854,277.78278765590596
48,495.863765404997,684.5228784156086,327.3834683515628
49,534.2292148187104,778.9183557441223,293.99858162797506
50,508.7779437141482,738.4838607322192,288.1734176412514
51,520.3599736838399,829.7692901058688,286.48616863166416
52,531.2255273414943,701.4259701815728,274.1699346357128
53,500.47056707564326,717.5913402007803,317.42898626716044
54,515.137874654446,781.0686343690032,251.7951551066163
55,559.7419230330349,802.7167975230408,288.42000778592745
56,511.2478747485617,763.92973474687,277.81544060295266
57,490.55181917112805,692.4091136265454,304.615796828827
58,595.1714234838792,670.1525676894219,298.4592289347905
59,559.2551418339893,782.8900773676133,321.9162568076749
60,580.5020206115471,801.7086958678,310.87178531657673
61,523.5976213183714,713.8585366797066,320.6914298356038
62,475.4721102410105,777.0175790302198,268.6063486975865
63,537.3208673406496,754.4640176205583,295.2667190615904
64,497.7952175527295,703.3658535447297,322.2901440148083
65,570.1049956926546,703.5474833051763,325.77183141100033
66,553.9797505307012,913.6844882433386,310.4558939403314
67,462.27068153061026,786.0596893575912,335.48429411263925
68,575.3511486256738,780.4653292713485,315.1259623281629
69,561.3859340086167,822.5786339434674,260.6298221376279
70,508.42856304422367,766.5186775776633,322.48473366351345
71,451.04028791903056,758.1372103732789,305.0056714000001
72,509.05389297344647,727.5208163165639,321.57160714429267
73,513.2416125174225,793.5004216636341,325.99800693491295
74,624.6020502142675,751.593929379643,245.9551918195702
75,538.5439427818487,785.5062685307704,276.7309911032462
76,484.309285091126,744.3159384354051,309.53730641919833
77,524.2548838298334,768.0544181275269,279.4172945784262
78,523.5161314383163,817.324232971024,257.3037401740043
79,474.9656833094774,631.0216300086482,300.5241802961963
80,459.8386854799719,748.6994274425955,290.2148365728
81,553.1823651758472,714.8198762990522,330.49003257180874
82,550.8469036017883,734.4062937529563,253.65947952705383
83,499.9701255935312,840.5609499882974,258.9971338270539
84,477.75750799790586,692.4363971223245,275.52926211672445
85,472.5890147001784,734.3288424091868,270.0574397552322
86,463.47020816646483,755.8892619755574,303.18935333082374
87,623.2894852328624,774.3898397291802,279.738922493403
88,539.7699063979449,770.3692883551811,265.10971649882987
89,587.0785302205849,718.5148142488018,259.74248115693854
90,500.5768842697588,735.5698811488248,249.84411014680023
91,527.9547055133515,768.5991103024514,283.83391105982025
92,534.4676909447583,720.9277374219076,253.2588797102622
93,541.3013881955716,790.6917604481021,301.8810593023687
94,566.634751691042,745.7643888410541,308.1676588929687
95,512.0452605892881,760.6649642756446,276.1285328741663
96,527.165511235114,748.7219530169322,279.73839734112835
97,533.8109167822811,831.2532643104614,287.1823084911663
98,529.1552081974846,684.9485995498997,359.9396595827307
99,494.57410077701445,795.7307986314679,266.9801717073583
100,506.3891116563324,832.5465898103678,248.40487686040416
101,469.82087927861977,793.54998655024,287.4038481448
102,516.2012775699375,786.1265734028775,308.81590818564257
103,531.1023075529795,812.0919565927995,289.9512540374555
104,516.8097808465526,763.893557388116,292.99825535934457
105,512.8256173336624,766.600812627941,275.1343507258759
106,511.4990172450016,770.2971507368873,243.48960223394843
107,466.42905692803726,777.6860147026403,299.90599792507726
108,579.085854515047,725.7153389908161,288.05790016465056
109,573.8922731955493,740.2365847133049,248.53692358341624
110,575.5717199807684,791.4668100417525,293.33060661801574
111,484.1883078764038,771.2556979286597,270.9003628933808
112,518.8916175930815,770.5652633354232,258.8668428474186
113,530.7300796096735,843.1121395121456,296.0052684837524
114,520.158227850441,803.39903077809,269.00569641295243
115,500.7884115134028,781.1550003163749,265.9903693179102
116,587.8078257884447,726.6812148557174,236.6119156099265
117,575.7535095433964,726.574392356187,271.7886169664927
118,500.0719855208892,829.9556965044627,287.08710309818844
119,456.52291216431206,684.9108229321552,265.00150111787406
120,533.0041352643382,775.0226434440104,291.38756398124826
121,517.7214821585283,734.7516886049023,261.76535646679025
122,551.2442250150638,817.1013607734712,262.1339316277742
123,510.5354645961206,677.5580485255932,301.00897704958214
124,537.230187975976,755.1662064221372,253.9996861876523
125,491.670958529921,718.6875831796431,258.66353858498223
126,514.7585138778877,882.6491975218414,259.6708831189274
127,487.89276650483407,808.4160703934931,258.2728869398724
128,504.6373657802377,660.6145848697594,259.59022082531703
129,524.8710838801255,778.0613713443656,249.95439322717485
130,514.0546860163435,697.0257142458433,262.0932131707999
131,524.5840567078465,784.3501640512762,283.96558234966443
132,579.2329025231934,722.737996622458,267.15405709819225
133,532.1308189474038,708.5154386683027,277.50125698143046
134,512.3417509687355,835.9611757828022,254.64848572736622
135,474.6111022121778,791.7321646460794,267.6931933827722
136,566.2526032209781,742.0144234573195,264.6620115289139
137,511.7146175112606,760.0356296712137,277.6418566815485
138,464.9228629466481,724.5627165629493,258.0571739365702
139,507.9173596068842,767.8648290796484,281.8586147750001
