,RL,Random,Greedy
0,294.2716860410065,504.86617714050897,748.2209775276481
1,241.172552351514,474.26663864413786,750.7560805149315
2,279.49107230505166,505.1814097685391,791.8354040269033
3,324.11055726518924,523.831666742182,710.1371873534456
4,315.4330670434505,536.675123140971,798.0098267945615
5,379.87752952329043,517.8605242936882,729.9155186598825
6,299.6138184531251,516.2970313781419,706.2696514759319
7,346.483959055471,510.63289811455627,714.1710315958178
8,316.2390657917597,526.3434824839196,732.7266299782799
9,307.5661581169286,517.2473968866759,820.1103089924543
10,309.76382522713084,547.5186376666054,813.9128351453559
11,337.44774668128196,506.04092093814035,747.7449498547046
12,362.3262653474893,498.87389214128154,771.9271684907413
13,359.3903219478003,533.5107607956447,715.0300486573992
14,356.78277981556613,498.52134554105305,742.7740834969021
15,312.0989721227374,570.7719360753032,783.1935428778271
16,352.5853542744129,524.1983706481376,768.2787142773003
17,295.45974944890514,507.061340091591,786.8745627976771
18,382.4507291283853,492.4865607648546,755.5137923792452
19,302.7868341144083,518.7775116118172,759.9377557038044
20,412.15415213262185,525.4239218292956,804.2486593185151
21,333.96740264223416,569.792743273329,768.1310772051553
22,405.4503789938779,522.1623246708033,784.4311666474232
23,326.867476735658,521.0170504461096,770.3680095601289
24,332.0070864769745,555.7569838570183,787.6870760921192
25,338.3048241984826,543.3920536811261,676.0840021832953
26,357.3872056542607,517.2688625878594,792.3012745094857
27,277.0026393613659,497.71222045109573,752.4357216990783
28,325.3662499778271,510.59076893217235,743.9412608498961
29,345.81078783503483,504.0960503248381,697.4315350925192
30,432.4933581163373,478.5074048434126,733.7614695893444
31,413.9418406443577,543.3157054336904,773.6153682465808
32,331.41443555499717,501.1492128161511,781.0614668242376
33,326.48652745775433,520.4773511793142,801.7546232291228
34,381.5060500429304,566.0596817181953,757.8415498484692
35,308.71159865645643,465.7483181175512,744.0847297861053
36,345.14890877199645,525.778705337647,723.6360709862588
37,341.01255876301485,491.058304626463,745.7217777063906
38,372.1862754901576,527.9793826120355,708.0515495760367
39,350.41284836529866,496.36931945180856,726.9032914999991
40,366.2898538333082,510.4472367949082,701.4273472682387
41,292.2791767455368,529.6301721062188,750.1008315883917
42,332.33992054231055,501.5223064159456,723.0446568363027
43,384.003983728465,497.88051230462344,782.9897556437624
44,294.46650676899645,518.2349765170006,748.5715242785725
45,347.1491655802154,550.4859081607062,789.86283867323
46,363.09209197649545,488.7275430958679,766.9755323942799
47,448.44350424132034,525.9517489619509,766.9571670181037
48,348.23604591828405,533.206498581971,748.109264924247
49,385.88747859124976,537.3544512337542,760.0611245747093
50,438.6690206303216,542.189225097105,794.5659023533856
51,417.36328438970315,502.1759316891277,759.073153801415
52,357.6507582511031,553.3788471198152,766.3272494922478
53,395.3937867615544,557.9938983260772,731.1750020663063
54,350.0330376979482,517.0114741641544,767.6535880777651
55,317.1975096090205,570.5523774053938,733.8265846120952
56,419.5167752879376,531.8127411900302,733.1958220276862
57,302.7297447125425,479.4112368550752,813.2802079038036
58,390.94657031995723,513.9567892838744,754.5589003335101
59,407.92730366498006,514.3328076046021,756.7967795290413
60,406.35877874177476,536.9201983773664,800.8787873231715
61,348.3732649067251,516.8603141742788,694.7058563964538
62,387.54038116726326,518.1378097021201,756.6711827291565
63,344.30030741607544,530.3971846195973,736.5374154682488
64,392.9020228821749,510.03587451044194,742.347401032715
65,420.6452687102343,543.1765828958557,753.1931598132355
66,382.872419111506,503.44844235853145,738.0093295346217
67,392.86247886700096,498.6654474783991,748.5268030189725
68,405.6908679427591,522.7531636940954,761.7839224720177
