,RL,Random,Greedy
118,441.9755792561029,571.0143055842261,807.8572752802967
119,473.06377090765943,560.1310268873507,763.4164112256833
120,470.00283312290037,535.5830118035641,749.1615795910155
121,435.4246375904503,497.2669108898999,722.4429518642066
122,414.20934442925017,546.4364375077105,762.4091398927458
123,417.3687343874668,540.5304672372336,762.3642101155856
124,567.7361479193858,530.8125416340697,770.6396279353007
125,493.9090741916104,531.6182006871602,772.689132382357
126,523.6865598950956,504.77613703960907,776.7540093534299
127,448.3843004895827,494.68994903708807,730.827307649098
128,469.52533910961375,502.2974318223478,747.9751938171654
129,490.8793761280882,579.0218043661972,734.900669162405
130,425.59269721726116,608.344967494934,763.8019899916129
131,430.7372438552543,549.3270171643443,722.8058459096261
132,437.9639502131796,549.3725762845914,750.4014929040874
133,404.37390804372103,485.0241632942017,813.2111572384202
134,479.8178454460423,567.7166446871964,811.4364402657649
135,506.2088842105166,536.858495608275,752.8753672285632
136,439.95066799149254,529.7782698587855,771.0784080886682
137,402.37857017838604,558.573745086831,728.8831564116185
138,470.5615401792147,533.1668436300871,756.8529946206373
139,505.99928576303137,506.68675519793544,789.1899245141531
140,413.1792689183555,529.9337092834334,747.0350394023183
141,411.88576819661273,479.95500822562855,767.7693326539385
142,485.2453193089047,554.2688467379718,785.6687424194545
143,494.2633094332524,486.83974862044977,788.2708641907118
144,387.14985300043156,531.956221691916,802.0625560932123
145,423.0903956251888,492.48168491885536,783.1608110964572
146,463.2274092583122,531.0444372005566,721.1407301666652
147,425.61159739754487,519.6334733546132,767.4634647067754
148,428.1451739686416,485.3010668526834,745.3420447788598
149,497.5660333429457,520.0567838527904,806.2756876983427
150,516.0315006938359,548.5301661241668,771.2154909620735
151,552.7881138297687,538.459893936138,750.9039768827391
152,442.3370637478517,500.6323471611469,744.9575877401893
153,401.9176619544411,522.2695416653479,725.9981142210701
154,502.90302341467185,500.5737273623953,781.2335567589744
155,469.0251707827204,538.5107617555085,786.4868349860178
156,470.374620902262,547.0701938348597,800.4812818024387
157,474.5235148457913,465.44405482853773,776.1549897404276
158,343.48873723921525,589.8924530419048,724.7380893571068
159,553.4028645903347,475.6765751199854,726.9643826115471
160,457.8721141406483,572.6292059474606,673.732212367208
161,558.9759276593364,538.6138286301609,782.1704314399215
162,446.84010794294744,531.1205032700111,779.0931594968962
163,499.0181784274313,538.9826187143137,748.1933994570832
164,590.343185818511,527.788066294925,743.963595617709
165,572.6293932134104,551.2621795206953,731.4465501007701
166,446.9416392792382,552.091368071603,721.6441068609423
167,391.80863018675325,508.60879271734166,775.6631436460566
168,434.5410820929768,508.57129098074984,780.3232578140908
169,432.2713667183775,518.1821240456476,787.8912828486499
170,412.7645946675707,511.73945037321573,840.5021921531152
171,381.98834475643815,448.84478703682345,802.3715973506036
172,426.4618033039409,526.0226421214143,770.2346706718064
173,594.0982695249834,497.46264104003376,766.4862332650507
174,531.754508958041,559.9636123171063,793.7454590095169
175,427.48556455104097,479.25643556246996,789.9547089680474
176,453.74289926924104,522.5928568383337,763.2513424669496
177,424.92076334597334,494.17294251587407,797.3304359780836
178,448.98597682552025,523.4273326937491,787.2615111911336
179,540.3124113180887,518.5524173417132,777.0173092525525
180,480.0364920506442,584.379239944177,765.119216302418
181,516.5031559178117,554.1179868833829,753.6822750351897
182,419.5007197456677,508.6685439485465,753.0555692665465
183,416.8994003529066,519.6328025331134,767.5528371584061
184,431.38126049902723,554.4233694665509,691.6880325764773
185,358.21013591224306,487.255324640037,827.8698110704736
186,410.62814553947373,523.9855784041094,796.9324335716196
187,379.1461904743718,523.6802048726715,744.053596342547
188,379.54762646159713,440.63926184575865,765.2123830720116
189,460.4651578590671,556.270613069238,747.2848748653807
190,457.7168141154314,511.422925177294,787.2901957641905
191,490.96518534364003,565.2680967680504,785.6807824878784
192,504.3275727666931,513.2672752593326,783.0910554138682
193,491.01279761394454,494.4360327588209,775.2914656851624
194,512.3958640190283,552.286598371988,784.9331522640753
195,443.5916989522143,523.7906843284366,736.8244832156254
196,395.3710496048608,532.3362644491826,751.3806937656011
197,455.98879550036884,527.6565420454242,748.5170026108324
198,456.4868226490486,494.1270536513501,756.951146137598
199,512.781434218511,471.34645144402964,822.8964751782811
200,429.57005928011824,487.569045225226,782.247701635345
201,452.2448656676106,532.8677811930824,716.7574079218379
202,451.75501099301607,510.5709003032645,752.1293988984743
203,459.9475843232134,504.31681202817674,694.8090522782823
204,419.86162806053017,511.1144703899034,730.0284189776199
205,399.17340235058504,588.4784686083553,793.5845698637586
206,466.336378616507,464.51553440842144,771.3152898830265
207,456.3394983646411,515.3024844577035,807.0830067916197
208,409.6940923272694,523.1908150718702,728.6452172056331
209,421.76688300753295,496.09187297358113,775.3977226144619
210,429.98277332596444,584.3332301446821,721.0006447420277
211,513.3599325526877,553.6211732791486,774.8634296315206
212,466.75920506057435,560.8740030879752,785.6051184476538
213,409.4383589256782,485.7695406276565,730.5832822924847
214,393.82811208869555,536.5774664708532,754.5180191828169
215,401.1931348750518,493.18432251252244,769.9114790841361
216,399.2857775489049,497.40074318662926,766.8281140011551
217,426.3871220352162,536.6953837497485,778.4277719945796
218,424.42834821643373,529.4332645670158,753.1527153042513
219,480.4247444650012,514.197894147513,759.6535030429969
220,487.37878532949446,494.6294799827571,720.2109487754163
221,532.3455723163926,496.0533995756089,717.4086961865331
222,484.77133089196815,491.7324322968128,775.4866493332895
223,416.09148784865545,540.0616786750539,740.4079224754938
224,393.53246013184133,533.2949592181672,703.3157681679164
225,393.1884921987793,543.5385107776507,712.430952792142
226,491.73444470926495,479.2870852900366,757.7218132284637
227,503.1503704137493,595.9274600592391,737.4642913472389
228,473.69629123668955,516.4459769011194,762.4151454117966
229,405.7903051231083,513.3824565990128,769.9615574206871
230,471.29779063576717,530.2305538394195,810.8611225257589
231,386.13448037225487,529.8503866818447,784.4732430987347
232,425.60861203897565,508.3484151968734,793.2587236112413
233,409.3541899018942,557.8643321849247,756.9050595022238
234,418.9019048089123,547.9943250528437,787.0769653610937
235,399.1163748751292,532.6214061754124,730.1272156998511
236,414.8991715453484,548.9335302161674,864.8126671361612
237,375.426675194357,592.280586665852,714.4585832597377
238,527.5296480339861,541.6204520109043,792.6610955212893
239,396.69518977197777,511.17722363586824,762.4707830229815
240,405.66520871657576,529.804762272207,765.3040986813849
241,471.07930922361254,514.4914305939476,803.7856727459632
242,427.6094779887323,557.2303337501324,744.0720806345096
243,439.7969131481615,565.247995289405,804.0031694922183
244,392.80218405069354,487.14737942507344,780.3240101183608
245,448.0408468262811,488.6197910270648,754.1952768703206
246,524.6599429560545,516.8887395326703,708.7776434218465
247,463.9664522845289,500.3206151370943,770.8545031259317
248,508.90816270114027,534.2368982735495,778.139271751712
249,397.78771444705865,558.2434836029072,722.3573413331577
250,444.1563251989771,528.8944042614678,767.4317112433179
251,438.25674821474394,539.0684235050121,778.1938155553928
252,521.0549086351525,523.2610152245863,791.4630557081647
253,471.27704129615176,546.5911569088256,792.7243173313366
254,529.9060288017693,531.5241806771148,780.8211213741254
255,502.1468653836173,503.6199170579116,788.61371176034
256,449.72377893810153,537.8278729955045,748.0752219739636
257,397.2467085173506,500.8709730569628,783.2238333374078
258,384.0893108085885,501.44846346047814,722.145631600705
259,389.20290323261645,564.6167465374699,768.4808317064433
260,395.13129646700304,501.7758399927711,710.8739235724213
261,408.91989792831873,562.7661466974492,815.6877708495306
262,507.9573234650767,550.5368244885236,779.1378613051236
263,465.2673444863975,531.779614851246,758.4423883385597
264,591.9427558156965,563.3067895129449,771.1156936991609
265,394.5422485172797,557.6970414050779,766.3472961552341
